IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2019,TRUE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2018,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2017,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2016,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2015,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2014,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2013,FALSE,,,,,,,,,,,,,1,,,,,,1,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2012,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2011,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2010,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2009,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2008,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2007,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2006,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2005,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2004,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2003,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2002,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2001,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2000,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1999,FALSE,,,,,,,,,,,,,8,,,,,,8,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1998,FALSE,,,,,,,,,,,,,2,,,,,,2,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1997,FALSE,,,,,,,,,,,,,2,,,,,,2,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1996,FALSE,,,,,,,,,,,,,4,,,,,,4,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1995,FALSE,,,,,,,,,,,,,4,,,,,,4,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1994,FALSE,,,,,,,,,,,,,31,,,,,,31,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1993,FALSE,,,,,,,,,,,,,10,,,,,,10,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1992,FALSE,,,,,,,,,,,,,6,,,,,,6,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1991,FALSE,,,,,,,,,,,,,35,,,,,,35,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1990,FALSE,,,,,,,,,,,,,44,,,,,,44,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1989,FALSE,,,,,,,,,,,,,68,,,,,,68,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1988,FALSE,,,,,,,,,,,,,36,,,,,,36,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1987,FALSE,,,,,,,,,,,,,54,,,,,,54,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1986,FALSE,,,,,,,,,,,,,117,,,,,,117,,,EN,2021-07-13T05:00:00.000Z
WHS3_41,Diphtheria - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1985,FALSE,,,,,,,,,,,,,140,,,,,,140,,,EN,2021-07-13T05:00:00.000Z
