IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2019,TRUE,,,,,,,,,,,,,2,,,,,,2,,,EN,2021-07-13T05:00:00.000Z
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2018,FALSE,,,,,,,,,,,,,42,,,,,,42,,,EN,2021-07-13T05:00:00.000Z
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2017,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2016,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2015,FALSE,,,,,,,,,,,,,4,,,,,,4,,,EN,2021-07-13T05:00:00.000Z
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2014,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2013,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2012,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2011,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
WHS3_62,Measles - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2010,FALSE,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-07-13T05:00:00.000Z
