IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2019,TRUE,,,,,,,,,,,,,23,,,,,,23,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2018,FALSE,,,,,,,,,,,,,24,,,,,,24,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2017,FALSE,,,,,,,,,,,,,24,,,,,,24,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2016,FALSE,,,,,,,,,,,,,25,,,,,,25,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2015,FALSE,,,,,,,,,,,,,22,,,,,,22,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2014,FALSE,,,,,,,,,,,,,21,,,,,,21,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2013,FALSE,,,,,,,,,,,,,35,,,,,,35,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2012,FALSE,,,,,,,,,,,,,17,,,,,,17,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2011,FALSE,,,,,,,,,,,,,38,,,,,,38,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2010,FALSE,,,,,,,,,,,,,47,,,,,,47,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2009,FALSE,,,,,,,,,,,,,19,,,,,,19,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2008,FALSE,,,,,,,,,,,,,42,,,,,,42,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2007,FALSE,,,,,,,,,,,,,55,,,,,,55,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2006,FALSE,,,,,,,,,,,,,28,,,,,,28,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2005,FALSE,,,,,,,,,,,,,44,,,,,,44,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2004,FALSE,,,,,,,,,,,,,52,,,,,,52,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2003,FALSE,,,,,,,,,,,,,58,,,,,,58,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2002,FALSE,,,,,,,,,,,,,49,,,,,,49,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2001,FALSE,,,,,,,,,,,,,33,,,,,,33,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,2000,FALSE,,,,,,,,,,,,,57,,,,,,57,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1999,FALSE,,,,,,,,,,,,,70,,,,,,70,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1998,FALSE,,,,,,,,,,,,,88,,,,,,88,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1997,FALSE,,,,,,,,,,,,,63,,,,,,63,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1996,FALSE,,,,,,,,,,,,,57,,,,,,57,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1995,FALSE,,,,,,,,,,,,,94,,,,,,94,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1994,FALSE,,,,,,,,,,,,,130,,,,,,130,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1993,FALSE,,,,,,,,,,,,,120,,,,,,120,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1992,FALSE,,,,,,,,,,,,,140,,,,,,140,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1991,FALSE,,,,,,,,,,,,,89,,,,,,89,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1990,FALSE,,,,,,,,,,,,,124,,,,,,124,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1989,FALSE,,,,,,,,,,,,,203,,,,,,203,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1988,FALSE,,,,,,,,,,,,,143,,,,,,143,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1987,FALSE,,,,,,,,,,,,,271,,,,,,271,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1986,FALSE,,,,,,,,,,,,,373,,,,,,373,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1985,FALSE,,,,,,,,,,,,,324,,,,,,324,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1984,FALSE,,,,,,,,,,,,,606,,,,,,606,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1983,FALSE,,,,,,,,,,,,,360,,,,,,360,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1982,FALSE,,,,,,,,,,,,,400,,,,,,400,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1981,FALSE,,,,,,,,,,,,,385,,,,,,385,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1980,FALSE,,,,,,,,,,,,,525,,,,,,525,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1979,FALSE,,,,,,,,,,,,,487,,,,,,487,,,EN,2021-07-13T05:00:00.000Z
WHS3_46,Total tetanus - number of reported cases,numeric,AMR,Americas,Country,PER,Peru,Year,1978,FALSE,,,,,,,,,,,,,532,,,,,,532,,,EN,2021-07-13T05:00:00.000Z
